03/05/2023   07:12:25  AM|AUTO THEFT RECOVERY|AUWAIOLIMU ST / LUSITANA ST|PUNCHBOWL|District 1
03/05/2023   07:12:07  AM|PARKING VIOLATION|24XX  AKEPA ST|PEARL CITY|District 3
03/05/2023   07:08:32  AM|TRESPASS|9XX  VALKENBURGH ST|MOANALUA|District 5
03/05/2023   07:02:08  AM|TRESPASS|20XX  KALIA RD|WAIKIKI|District 6
03/05/2023   07:02:05  AM|FOLLOW UP|52XX  LIKINI ST|SALT LAKE|District 5
03/05/2023   07:01:27  AM|FOLLOW UP|9110XX  YORKTOWN ST|KALAELOA|District 8
03/05/2023   07:00:29  AM|PROPERTY DAMAGE|8721XX  HELELUA PL|NANAKULI|District 8
03/05/2023   06:48:20  AM|VEH TOWED|3XX  WAI NANI WAY|WAIKIKI|District 6
03/04/2023   22:40:09  PM|AGGRAVATED ASSAULT|3XX  N NIMITZ HWY|KALIHI|District 5
