01/31/2025   05:14:01  AM|MEDICAL ASSIST|10XX  N SCHOOL ST|KALIHI|District 5
01/31/2025   05:09:55  AM|MISC SERVICE CALL|9206XX  MALAHUNA LOOP|KAPOLEI|District 8
01/31/2025   05:09:45  AM|ALARM CALL|8XX  KAPIOLANI BLVD|HONOLULU|District 1
01/31/2025   05:04:27  AM|SUSP CIRCUMSTANCE|5104XX  KAM HWY|KAAAWA|District 4
01/31/2025   04:38:38  AM|ALARM CALL|9112XX  RENTON RD|EWA BEACH|District 8
01/31/2025   04:37:10  AM|AGGRAVATED ASSAULT|1XX  S KUKUI ST|DOWNTOWN|District 1
01/31/2025   04:34:49  AM|MISC PUB|4XX  KAPAHULU AVE|KAPAHULU|District 7
01/31/2025   02:58:50  AM|WARRANT ARREST|4XX  KAPAHULU AVE|KAPAHULU|District 7
01/31/2025   02:04:02  AM|FAMILY OFF/NEG|4701XX  PULAMA PL|KAHALUU|District 4
01/31/2025   00:08:56  AM|AUTO THEFT|13XX  LILIHA ST|DOWNTOWN|District 1
