06/15/2024   18:58:57  PM|MVC|OLOHANA ST / KALAKAUA AVE|WAIKIKI|District 6
06/15/2024   18:56:35  PM|MISC PUB|8701XX  MALIONA ST|MAILI|District 8
06/15/2024   18:48:31  PM|PARKING VIOLATION|30XX  LAKIMAU ST|KAPAHULU|District 7
06/15/2024   18:26:29  PM|MISC CRIME OFFENSE|36XX  PUUKU MAKAI DR|ALIAMANU|District 5
06/15/2024   18:22:39  PM|VEH TOWED|OLD GOVERNMENT RD / FARRINGTON HWY|WAIANAE|District 8
06/15/2024   18:15:35  PM|MISC PUB|9123XX  OLD FORT WEAVER RD|EWA BEACH|District 8
06/15/2024   18:07:01  PM|BURGLARY|19XX  PALOLO AVE|KAIMUKI|District 7
06/15/2024   17:21:28  PM|MISC PUB|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
06/15/2024   15:43:25  PM|UNATTENDED DEATH|8XX  PAANI ST|MCCULLY|District 7
