07/02/2023   01:46:27  AM|HARASSMENT|9410XX  OLI PL|WAIPIO|District 3
07/02/2023   01:34:20  AM|SIMPLE ASSAULT|3XX  PALM ST|WAHIAWA|District 2
07/02/2023   01:11:04  AM|MVC VEH TOWED|XX  H2N FWY|MILILANI|District 2
07/02/2023   00:57:45  AM|DISORDERLY CONDUCT|12XX  IHIIHI AVE|WAHIAWA|District 2
07/02/2023   00:54:38  AM|NOISE COMPLAINT|2XX  WILIKINA DR|WAHIAWA|District 2
07/02/2023   00:32:59  AM|MISC SERVICE CALL|9121XX  FORT WEAVER RD|EWA BEACH|District 8
07/02/2023   00:13:24  AM|DISORDERLY CONDUCT|4XX  ENA RD|WAIKIKI|District 6
07/01/2023   23:52:41  PM|MVC VEH TOWED|8901XX  FARRINGTON HWY|NANAKULI|District 8
07/01/2023   23:22:15  PM|MVC|20XX  N SCHOOL ST|KALIHI|District 5
