05/02/2024   01:26:30  AM|VEH TOWED|H2N LEILEHUA GOLF COURSE OP|MILILANI|District 2
05/02/2024   01:13:01  AM|SUSP CIRCUMSTANCE|5103XX  KEKIO RD|KAAAWA|District 4
05/02/2024   01:09:44  AM|MISC SERVICE CALL|19XX  KUI PL|KALIHI|District 5
05/02/2024   01:04:01  AM|ARGUMENT|8407XX  FRICKE ST|MAKAHA|District 8
05/02/2024   00:57:37  AM|MISC SERVICE CALL|9115XX  ULAULA LOOP|EWA BEACH|District 8
05/02/2024   00:08:43  AM|WARRANT ARREST|4XX  N SCHOOL ST|NUUANU|District 5
05/01/2024   23:35:53  PM|LIQUOR LAW|14XX  LINAPUNI ST|KALIHI|District 5
05/01/2024   23:32:41  PM|DUI|FORT WEAVER RD / NORTH RD|EWA BEACH|District 8
05/01/2024   23:17:55  PM|UNATTENDED DEATH|49XX  MOKUPEA PL|IROQUOIS|District 8
