01/28/2024   00:07:23  AM|FRAUD|9XX  MAUNAKEA ST|DOWNTOWN|District 1
01/28/2024   00:06:53  AM|NOISE COMPLAINT|9XX  VALKENBURGH ST|MOANALUA|District 5
01/28/2024   00:05:04  AM|MISC SERVICE CALL|8403XX  FARRINGTON HWY|MAKAHA|District 8
01/28/2024   00:04:35  AM|SUSP PERSON|9510XX  KAHAKIKI ST|MILILANI|District 2
01/27/2024   23:56:51  PM|MISC PUB|8501XX  ALA AKAU ST|WAIANAE|District 8
01/27/2024   23:50:42  PM|MVC VEH TOWED|2XX  H1W FWY|NUUANU|District 5
01/27/2024   23:49:25  PM|WARRANT ARREST|PUA LN / N VINEYARD BLVD|KALIHI|District 5
01/27/2024   23:45:51  PM|MISC PUB|5401XX  HAUULA PARK PL|HAUULA|District 4
01/27/2024   23:19:30  PM|MISC PUB|3XX  PALM ST|WAHIAWA|District 2
01/27/2024   22:49:49  PM|SUSP CIRCUMSTANCE|4504XX  KUAUA WAY|KANEOHE|District 4
