12/28/2023   05:26:01  AM|AUTO THEFT|8XX  COOLIDGE ST|MCCULLY|District 7
12/28/2023   05:21:57  AM|VEH TOWED|20XX  STANLEY ST|KALIHI|District 5
12/28/2023   05:16:08  AM|MVC VEH TOWED|WILIKINA DR / KAMANANUI RD|WAHIAWA|District 2
12/28/2023   05:02:57  AM|SUSP PERSON|14XX  ERNEST ST|MAKIKI|District 1
12/28/2023   04:57:39  AM|ALARM CALL|XX  N KING ST|DOWNTOWN|District 1
12/28/2023   04:45:01  AM|MVC|FARRINGTON HWY / FORT BARRETTE RD|KAPOLEI|District 8
12/28/2023   04:17:31  AM|ROBBERY|34XX  N NIMITZ HWY|AIRPORT|District 5
12/28/2023   02:08:48  AM|BURGLARY|8XX  KAHEKA ST|HONOLULU|District 1
12/28/2023   01:50:17  AM|ROBBERY VEH CXL|8512XX  KANEAKI ST|WAIANAE|District 8
