02/25/2024   02:28:05  AM|MEDICAL ASSIST|8XX  S KING ST|HONOLULU|District 1
02/25/2024   02:26:54  AM|ALARM CALL|23XX  KALAKAUA AVE|WAIKIKI|District 6
02/25/2024   02:22:18  AM|SUSP CIRCUMSTANCE|15XX  PALAPALA PL|KALIHI|District 5
02/25/2024   02:14:32  AM|NOISE COMPLAINT|MAIN ST / VALKENBURGH ST|AIRPORT|District 5
02/25/2024   01:54:05  AM|NOISE COMPLAINT|9506XX  NAWENEWENE CIR|MILILANI|District 2
02/25/2024   01:50:01  AM|MVC VEH TOWED|PUPUKEA RD / ALAPIO RD|SUNSET|District 2
02/25/2024   01:46:24  AM|TRAFFIC INCIDENT|KOKO HEAD AVE / PAHOA AVE|KAIMUKI|District 7
02/25/2024   01:25:58  AM|MISC PUB|XX  KAUILA ST|NUUANU|District 5
02/25/2024   01:23:26  AM|ARGUMENT FAMILY|9403XX  ULUKOA ST|MILILANI|District 2
02/25/2024   00:30:37  AM|MVC VEH TOWED|MFE EXIT3 TRIPLER|SALT LAKE|District 5
