08/23/2023   02:24:21  AM|NOISE COMPLAINT|9500XX  WAIKALANI DR|MILILANI|District 2
08/23/2023   02:22:24  AM|THEFT|11XX  DILLINGHAM BLVD|KALIHI|District 5
08/23/2023   01:45:41  AM|ICF/SCF|11XX  WAINIHA ST|HAWAII KAI|District 7
08/23/2023   01:14:16  AM|AGGRAVATED ASSAULT|KALAKAUA AVE / LEWERS ST|WAIKIKI|District 6
08/23/2023   00:15:21  AM|UEMV|16XX  AHIAHI PL|KALIHI|District 5
08/23/2023   00:10:50  AM|ROBBERY VEH TAKEN|9110XX  RENTON RD|EWA BEACH|District 8
08/22/2023   23:51:47  PM|WARRANT ARREST|DIAMOND HEAD RD / 22ND AVE|KAHALA|District 7
08/22/2023   23:21:06  PM|VEH TOWED|8901XX  HALEAKALA AVE|NANAKULI|District 8
08/22/2023   23:15:06  PM|AUTO THEFT RECOVERY|N KING ST / IWILEI RD|KALIHI|District 5
