03/04/2023   02:20:47  AM|PARKING VIOLATION|9401XX  PUPUNOHE ST|WAIPAHU|District 3
03/04/2023   02:03:42  AM|DUI|KAPIOLANI BLVD / KAHEKA ST|HONOLULU|District 1
03/04/2023   01:53:20  AM|DUI|KAPIOLANI BLVD / KALAKAUA AVE|ALA MOANA|District 1
03/04/2023   01:51:42  AM|ARGUMENT|4703XX  HUI IWA ST|KANEOHE|District 4
03/04/2023   01:51:03  AM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/04/2023   01:49:19  AM|PROPERTY DAMAGE|KALAUOKALANI WAY / KAPIOLANI BLVD|ALA MOANA|District 1
03/04/2023   01:20:49  AM|WARRANT ARREST|49XX  KAPOLEI PKWY|KAPOLEI|District 8
03/04/2023   01:16:08  AM|RAPE|2XX  KALIHI ST|KALIHI|District 5
03/04/2023   01:08:16  AM|DUI|KALELE RD / KALEI RD|MANOA|District 7
03/04/2023   01:00:20  AM|DUI|KAPIOLANI BLVD / KEEAUMOKU ST|HONOLULU|District 1
03/04/2023   00:44:52  AM|DUI|KAPIOLANI BLVD / MCCULLY ST|MCCULLY|District 7
03/04/2023   00:40:57  AM|VEH TOWED|S KING ST / PALM DR|HONOLULU|District 1
03/04/2023   00:15:57  AM|DUI|5XX  KEAWE ST|HONOLULU|District 1
03/04/2023   00:12:58  AM|VEH TOWED|KAPOLEI PKWY / KOLOWAKA DR|EWA BEACH|District 8
03/04/2023   00:03:27  AM|FAMILY OFF/NEG|8721XX  FARRINGTON HWY|NANAKULI|District 8
03/03/2023   23:53:44  PM|AUTO THEFT RECOVERY|8XX  KAHEKA ST|HONOLULU|District 1
03/03/2023   23:03:48  PM|DUI|WARD AVE / S KING ST|HONOLULU|District 1
