08/12/2024   05:55:46  AM|PROPERTY DAMAGE|8407XX  KILI DR|MAKAHA|District 8
08/12/2024   05:52:48  AM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
08/12/2024   05:51:37  AM|MISC CRIME OFFENSE|KUWILI ST / IWILEI RD|KALIHI|District 5
08/12/2024   05:49:38  AM|MVC VEH TOWED|30XX  TANTALUS DR|MAKIKI|District 1
08/12/2024   05:48:22  AM|MVC|10XX  PENSACOLA ST|HONOLULU|District 1
08/12/2024   05:44:47  AM|MVC VEH TOWED|37XX  PAHOA AVE|KAIMUKI|District 7
08/12/2024   05:44:24  AM|MISC CRIME OFFENSE|IWILEI RD / KUWILI ST|KALIHI|District 5
08/12/2024   05:11:08  AM|SUSP VEH|CENTER DR / CASEY ST|HALE MOKU|District 3
08/12/2024   04:49:55  AM|UNATTENDED DEATH|26XX  HAILI RD|PUNCHBOWL|District 1
08/12/2024   03:46:55  AM|UNATTENDED DEATH|9816XX  PIKI ST|AIEA|District 3
