07/28/2023   03:12:48  AM|MISC SERVICE CALL|9412XX  KIPAA PL|WAIPIO|District 3
07/28/2023   03:09:47  AM|MVC|MFE EXIT3 TRIPLER|SALT LAKE|District 5
07/28/2023   03:09:29  AM|SIMPLE ASSAULT|PAKI AVE / NOELA ST|WAIKIKI|District 6
07/28/2023   03:09:10  AM|NOISE COMPLAINT|6806XX  FARRINGTON HWY|MOKULEIA|District 2
07/28/2023   02:07:38  AM|MISC PUB|6XX  IWILEI RD|KALIHI|District 5
07/28/2023   01:45:47  AM|MISC PUB|5907XX  KAM HWY|SUNSET|District 2
07/28/2023   01:35:38  AM|MISC PUB|9118XX  FORT WEAVER RD|EWA BEACH|District 8
07/28/2023   00:13:56  AM|AUTO THEFT RECOVERY|22XX  KAM HWY|KALIHI|District 5
07/27/2023   22:14:01  PM|DISORDERLY CONDUCT|9XX  WAIAKAMILO RD|KALIHI|District 5
