03/09/2025   23:26:41  PM|FAMILY OFF/NEG|MALUNIU AVE / KUULEI RD|KAILUA|District 4
03/09/2025   23:16:23  PM|TRESPASS WARN|8601XX  FARRINGTON HWY|WAIANAE|District 8
03/09/2025   23:14:54  PM|AUTO THEFT RECOVERY|10XX  PROSPECT ST|MAKIKI|District 1
03/09/2025   23:06:50  PM|MEDICAL ASSIST|9110XX  NANAHU ST|KAPOLEI|District 8
03/09/2025   22:58:38  PM|VEH TOWED|17XX  IWI WAY|KAIMUKI|District 7
03/09/2025   22:49:06  PM|MISC SERVICE CALL|8513XX  KOOLINA ST|WAIANAE|District 8
03/09/2025   22:32:31  PM|TRAFFIC COMPLAINT|41XX  NUUANU PALI DR|NUUANU|District 5
03/09/2025   21:15:05  PM|THREATENING|8900XX  LAUMANIA AVE|NANAKULI|District 8
03/09/2025   21:09:49  PM|DUI|AINAKOA AVE / ALIIKOA ST|WAIALAE|District 7
