04/06/2024   08:24:20  AM|CUSTODIAL INTERFERENCE|30XX  KAHALOA DR|MANOA|District 7
04/06/2024   08:23:57  AM|MEDICAL ASSIST|26XX  WAIWAI LOOP|AIRPORT|District 5
04/06/2024   08:23:34  AM|SUSP CIRCUMSTANCE|20XX  ALA MAHAMOE|MOANALUA V|District 5
04/06/2024   08:22:36  AM|SUSP CIRCUMSTANCE|9106XX  PAPIPI RD|EWA BEACH|District 8
04/06/2024   08:16:07  AM|DISORDERLY CONDUCT|10XX  MANAWAI ST|KAPOLEI|District 8
04/06/2024   08:15:18  AM|HARASSMENT|7XX  N KING ST|KALIHI|District 5
04/06/2024   08:13:02  AM|NUISANCE COMPLAINT|4600XX  KAM HWY|KANEOHE|District 4
04/06/2024   08:01:06  AM|HARASSMENT|48XX  BOUGAINVILLE DR|MOANALUA|District 5
04/06/2024   07:54:04  AM|UNATTENDED DEATH|6XX  ALA MOANA BLVD|KAKAAKO|District 1
