04/08/2025   19:13:10  PM|THEFT|12XX  KUALA ST|PEARL CITY|District 3
04/08/2025   19:09:01  PM|DROPPED CALL|14XX  AKIIKII PL|KAILUA|District 4
04/08/2025   19:02:17  PM|COUNTERFEIT/FORGERY|14XX  LILIHA ST|DOWNTOWN|District 1
04/08/2025   18:52:31  PM|MISC CRIME OFFENSE|16XX  ALA MOANA BLVD|ALA MOANA|District 1
04/08/2025   18:43:11  PM|FOLLOW UP|8XX  KAHEKA ST|HONOLULU|District 1
04/08/2025   18:36:50  PM|SUSP CIRCUMSTANCE|4101XX  HILU ST|WAIMANALO|District 4
04/08/2025   18:25:34  PM|TRAFFIC COMPLAINT|4500XX  KAM HWY|KAILUA|District 4
04/08/2025   14:33:00  PM|UNATTENDED DEATH|10XX  NUUANU AVE|DOWNTOWN|District 1
04/08/2025   12:35:30  PM|RUNAWAY CXL|CORAL SEA RD / VINSON RD|KALAELOA|District 8
