02/10/2023   03:12:59  AM|NUISANCE COMPLAINT|4600XX  KAM HWY|KANEOHE|District 4
02/10/2023   03:10:53  AM|SUSP PERSON|9402XX  PUPUKAHI ST|WAIPAHU|District 3
02/10/2023   03:04:59  AM|SUSP PERSON|9410XX  FARRINGTON HWY|WAIPAHU|District 3
02/10/2023   02:48:11  AM|SUSP CIRCUMSTANCE|45XX  SALT LAKE BLVD|AIEA|District 3
02/10/2023   02:27:56  AM|FAMILY OFF/NEG|11XX  KAMOKILA BLVD|KAPOLEI|District 8
02/10/2023   02:15:33  AM|DUI|KAPIOLANI BLVD / KALAUOKALANI WAY|HONOLULU|District 1
02/10/2023   02:11:55  AM|DUI|9102XX  HANAPOULI CIR|EWA BEACH|District 8
02/10/2023   01:57:02  AM|MVC VEH TOWED|1XX  H1E FWY|AIEA|District 3
02/10/2023   00:23:16  AM|DUI|FARRINGTON HWY / HAKIMO RD|NANAKULI|District 8
02/09/2023   23:42:21  PM|TRESPASS WARN|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
