02/09/2025   07:26:58  AM|SUSP PERSON|KUIKI PL / LAENUI ST|WAIPAHU|District 3
02/09/2025   07:26:43  AM|AGGRAVATED ASSAULT|9XX  KEEAUMOKU ST|HONOLULU|District 1
02/09/2025   07:24:54  AM|TRAFFIC COMPLAINT|2XX  H1E FWY|HONOLULU|District 1
02/09/2025   07:24:27  AM|MISC SERVICE CALL|16XX  KALAKAUA AVE|HONOLULU|District 1
02/09/2025   07:24:14  AM|DEFIB CALL|9117XX  ALA LOA ST|EWA BEACH|District 8
02/09/2025   07:22:25  AM|MISC PUB|10XX  AVE / LA I RD|KAIMUKI|District 7
02/09/2025   07:15:53  AM|MVC|29XX  ALA ILIMA|SALT LAKE|District 5
02/09/2025   07:12:34  AM|FOLLOW UP|9XX  MANINIHOLO ST|HAWAII KAI|District 7
02/09/2025   06:38:28  AM|FAMILY OFF/NEG|2XX  N VINEYARD BLVD|DOWNTOWN|District 1
02/09/2025   04:09:18  AM|AGGRAVATED ASSAULT|21XX  S BERETANIA ST|MCCULLY|District 7
