12/31/2024   01:42:55  AM|TRAFFIC STOP|PIIKOI ST / ELM ST|HONOLULU|District 1
12/31/2024   01:41:44  AM|NUISANCE COMPLAINT|9400XX  FARRINGTON HWY|WAIPAHU|District 3
12/31/2024   01:35:24  AM|SUSP PERSON|1XX  DOWSETT AVE|NUUANU|District 5
12/31/2024   01:20:36  AM|MISC PUB|9XX  ALA LOKE ST|SALT LAKE|District 5
12/31/2024   01:19:17  AM|SUSP CIRCUMSTANCE|HALEULULAAU ST / KALAHIKIOLA DR|WAIPIO|District 3
12/31/2024   01:02:59  AM|THREATENING|8607XX  LUALUALEI HMSTD RD|WAIANAE|District 8
12/31/2024   01:01:33  AM|FAMILY OFF/NEG|8702XX  KULAAUPUNI ST|MAILI|District 8
12/31/2024   00:22:27  AM|DUI|2XX  H1E FWY|MCCULLY|District 7
12/30/2024   18:44:30  PM|FOLLOW UP|51XX  ASHLEY AVE|PC PEN|District 3
