01/17/2024   21:12:16  PM|ARGUMENT|4105XX  KALANIANAOLE HWY|WAIMANALO|District 4
01/17/2024   21:01:52  PM|MVC|32XX  HARDING AVE|KAIMUKI|District 7
01/17/2024   20:55:22  PM|ARGUMENT FAMILY|14XX  PUANAKAU ST|AIEA|District 3
01/17/2024   20:46:17  PM|UNATTENDED DEATH|6XX  IWILEI RD|KALIHI|District 5
01/17/2024   20:30:11  PM|MISC PUB|9802XX  KANUKU ST|AIEA|District 3
01/17/2024   20:05:08  PM|WARRANT ARREST|8411XX  FARRINGTON HWY|MAKAHA|District 8
01/17/2024   19:29:19  PM|MVC VEH TOWED|XX  H1E FWY|WAIPAHU|District 3
01/17/2024   19:27:07  PM|FOLLOW UP|9402XX  WAIPAHU ST|WAIPAHU|District 3
01/17/2024   19:13:18  PM|DUI|KUALAKAI PKWY / FARRINGTON HWY|KAPOLEI|District 8
