12/16/2024   05:43:30  AM|MISC SERVICE CALL|12XX  S BERETANIA ST|HONOLULU|District 1
12/16/2024   05:38:57  AM|MVC|GULICK AVE / PACHECO ST|KALIHI|District 5
12/16/2024   05:25:42  AM|MISC PUB|6601XX  HALEIWA RD|HALEIWA|District 2
12/16/2024   05:24:34  AM|SIMPLE ASSAULT|3XX  N KUAKINI ST|NUUANU|District 5
12/16/2024   05:17:34  AM|MISC PUB|43XX  LAWEHANA ST|AIEA|District 3
12/16/2024   05:13:09  AM|UNATTENDED DEATH|9505XX  WIKAO ST|MILILANI|District 2
12/16/2024   04:45:02  AM|MISC PUB|9403XX  KAHUANANI ST|WAIPAHU|District 3
12/16/2024   04:17:31  AM|MVC VEH TOWED|KAM FROM H1E|WAIPAHU|District 3
12/16/2024   01:38:31  AM|SIMPLE ASSAULT|9212XX  PALAHIA ST|MAKAKILO|District 8
