12/11/2023   23:42:51  PM|SUSP CIRCUMSTANCE|4705XX  KAM HWY|KANEOHE|District 4
12/11/2023   23:30:50  PM|HARASSMENT|8XX  OLOKELE AVE|KAPAHULU|District 7
12/11/2023   23:24:18  PM|FOLLOW UP|12XX  PALAMEA LN|KALIHI|District 5
12/11/2023   23:17:45  PM|MISC PUB|KAM HWY / KA UKA BLVD|WAIPIO|District 3
12/11/2023   22:37:59  PM|MISC PUB|KAM HWY / KA UKA BLVD|WAIPIO|District 3
12/11/2023   22:31:36  PM|MISC PUB|ALAPAI ST / S BERETANIA ST|HONOLULU|District 1
12/11/2023   22:30:40  PM|MISC PUB|OLOMEA ST / IAO LN|KALIHI|District 5
12/11/2023   22:24:25  PM|DUI|KAUA ST / HORNER ST|KALIHI|District 5
12/11/2023   20:13:35  PM|DRUGS/NARCOTICS|S HOTEL ST / BETHEL ST|DOWNTOWN|District 1
12/11/2023   18:45:54  PM|RUNAWAY CXL|RIVER ST / N HOTEL ST|DOWNTOWN|District 1
