12/31/2022   00:11:14  AM|TRAFFIC COMPLAINT|NUUANU AVE / N HOTEL ST|DOWNTOWN|District 1
12/31/2022   00:10:14  AM|MVC|9106XX  POHAKUPUNA RD|EWA BEACH|District 8
12/30/2022   23:54:44  PM|SUSP PERSON|39XX  LIKINI ST|ALIAMANU|District 5
12/30/2022   23:51:28  PM|DUI|FORT WEAVER RD / FARRINGTON HWY|EWA BEACH|District 8
12/30/2022   23:28:25  PM|SIMPLE ASSAULT|6XX  ISENBERG ST|MCCULLY|District 7
12/30/2022   23:26:24  PM|DUI|KEAUNUI DR / KAPOLEI PKWY|EWA BEACH|District 8
12/30/2022   23:25:04  PM|FOLLOW UP|25XX  DATE ST|MCCULLY|District 7
12/30/2022   22:55:00  PM|VEH TOWED|FORT WEAVER RD / KEAUNUI DR|EWA BEACH|District 8
12/30/2022   22:35:27  PM|PARKING VIOLATION|9100XX  POHAKUPUNA PL|EWA BEACH|District 8
