07/01/2023   19:13:00  PM|SIMPLE ASSAULT|5XX  N KING ST|KALIHI|District 5
07/01/2023   19:10:34  PM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
07/01/2023   19:09:56  PM|THEFT|6XX  KEEAUMOKU ST|HONOLULU|District 1
07/01/2023   18:58:25  PM|MVC|9405XX  KUPUOHI ST|WAIPAHU|District 3
07/01/2023   18:50:22  PM|UEMV|9402XX  LEOWAHINE ST|WAIPAHU|District 3
07/01/2023   18:41:18  PM|ICF/SCF|9402XX  PULELO PL|WAIPIO|District 3
07/01/2023   17:57:34  PM|TRAFFIC STOP|32XX  ROUND TOP DR|MAKIKI|District 1
07/01/2023   17:43:07  PM|MVC VEH TOWED|9206XX  ANIPEAHI ST|MAKAKILO|District 8
07/01/2023   15:59:42  PM|FAMILY OFF/NEG|41XX  GUADALCANAL CIR|KALAELOA|District 8
07/01/2023   15:19:57  PM|TRESPASS WARN|20XX  KALIA RD|FT DERUSSY|District 6
