07/14/2024   01:58:50  AM|SUSP CIRCUMSTANCE|PALAILAI ST / UHIUALA ST|MAKAKILO|District 8
07/14/2024   01:55:39  AM|MISC SERVICE CALL|10XX  NUUANU AVE|DOWNTOWN|District 1
07/14/2024   01:48:42  AM|SUSP PERSON|XX  N PAUAHI ST|DOWNTOWN|District 1
07/14/2024   01:47:09  AM|SIMPLE ASSAULT|9403XX  PUPUPANI ST|WAIPAHU|District 3
07/14/2024   01:41:15  AM|NOISE COMPLAINT|9401XX  PUPUPUHI ST|WAIPAHU|District 3
07/14/2024   01:33:27  AM|FOLLOW UP|14XX  HOOHAKU ST|PEARL CITY|District 3
07/14/2024   01:32:34  AM|WARRANT ARREST|RIVER ST / N HOTEL ST|DOWNTOWN|District 1
07/14/2024   01:25:32  AM|THREATENING|6601XX  KAM HWY|HALEIWA|District 2
07/14/2024   01:18:18  AM|MISC CRIME OFFENSE|18XX  KAM IV RD|KALIHI|District 5
07/14/2024   00:54:42  AM|AUTO THEFT|9414XX  HIAPO ST|WAIPAHU|District 3
