10/27/2023   00:28:54  AM|SIMPLE ASSAULT|19XX  KAPIOLANI BLVD|MCCULLY|District 7
10/27/2023   00:25:54  AM|HAZARDOUS DRIVER|1XX  H1W FWY|PEARL CITY|District 3
10/27/2023   00:20:12  AM|PARKING VIOLATION|8XX  WAIMANU ST|HONOLULU|District 1
10/27/2023   00:19:26  AM|MVC|5XX  ALA MOANA BLVD|DOWNTOWN|District 1
10/27/2023   00:13:58  AM|LIQUOR LAW|24XX  KALAKAUA AVE|WAIKIKI|District 6
10/27/2023   00:05:34  AM|ARGUMENT|19XX  KALAKAUA AVE|WAIKIKI|District 6
10/26/2023   19:53:30  PM|MISC PUB|13XX  PUNCHBOWL ST|HONOLULU|District 1
10/26/2023   19:12:44  PM|AGGRAVATED ASSAULT|1XX  N KING ST|DOWNTOWN|District 1
10/26/2023   19:09:31  PM|FAMILY OFF/NEG|9507XX  LANIPAA ST|MILILANI|District 2
