01/18/2025   06:25:05  AM|THEFT|13XX  S KING ST|HONOLULU|District 1
01/18/2025   06:23:51  AM|FOUND PROPERTY|20XX  KUHIO AVE|WAIKIKI|District 6
01/18/2025   06:17:19  AM|AUTO THEFT|7XX  PUUHALE RD|KALIHI|District 5
01/18/2025   06:09:34  AM|ICF/SCF|ROYAL HAWAIIAN AVE / KALAKAUA AVE|WAIKIKI|District 6
01/18/2025   06:06:28  AM|NOISE COMPLAINT|8502XX  FARRINGTON HWY|WAIANAE|District 8
01/18/2025   06:01:29  AM|ARGUMENT|8606XX  PUUHULU RD|WAIANAE|District 8
01/18/2025   05:10:28  AM|AUTO THEFT RECOVERY|9901XX  KOHOMUA ST|AIEA|District 3
01/18/2025   04:07:10  AM|AGGRAVATED ASSAULT|KALAKAUA AVE / KEONIANA ST|WAIKIKI|District 6
01/18/2025   00:59:04  AM|FAMILY OFF/NEG|8515XX  WAIANAE VALLEY RD|WAIANAE|District 8
