09/16/2024   05:52:07  AM|TRAFFIC COMPLAINT|POKIWAI PL / KAM HWY|PUNALUU|District 4
09/16/2024   05:50:30  AM|MVC|18XX  AVE / DIAMOND HEAD R|KAHALA|District 7
09/16/2024   05:42:15  AM|MISC SERVICE CALL|18XX  ALA AOLANI|MOANALUA V|District 5
09/16/2024   05:38:06  AM|UEMV|43XX  AUKAI AVE|KAHALA|District 7
09/16/2024   05:32:30  AM|FAMILY OFF/NEG|12XX  HALONA PL|KALIHI|District 5
09/16/2024   05:09:37  AM|MISC CRIME OFFENSE|15XX  PERRY ST|KALIHI|District 5
09/16/2024   04:52:33  AM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
09/16/2024   04:03:18  AM|VEH TOWED|KEONIANA ST / ALA WAI BLVD|WAIKIKI|District 6
09/16/2024   00:54:21  AM|DUI|KAUA ST / HORNER ST|KALIHI|District 5
