07/27/2024   04:42:42  AM|VEH TOWED|2XX  MOKAUEA ST|KALIHI|District 5
07/27/2024   04:41:47  AM|NUISANCE COMPLAINT|8XX  S BERETANIA ST|HONOLULU|District 1
07/27/2024   04:38:21  AM|THEFT|8511XX  KUMAIPO ST|WAIANAE|District 8
07/27/2024   04:34:42  AM|SIMPLE ASSAULT|PIIKOI ST / KONA ST|ALA MOANA|District 1
07/27/2024   04:15:23  AM|MISC PUB|4107XX  KALANIANAOLE HWY|WAIMANALO|District 4
07/27/2024   03:43:34  AM|SIMPLE ASSAULT|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
07/27/2024   03:24:18  AM|FAMILY OFF/NEG|9110XX  KEAUNUI DR|EWA BEACH|District 8
07/27/2024   03:17:33  AM|WARRANT ARREST|4XX  LEWERS ST|WAIKIKI|District 6
07/27/2024   02:12:47  AM|MISC PUB|15XX  H3W FWY|MCBH|District 4
