05/10/2024   03:05:25  AM|VEH TOWED|ANANIA CIR / ANANIA DR|MILILANI|District 2
05/10/2024   02:51:35  AM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
05/10/2024   02:40:57  AM|TRESPASS|13XX  ALA MOANA BLVD|ALA MOANA|District 1
05/10/2024   02:23:46  AM|ROBBERY|XX  N HOTEL ST|DOWNTOWN|District 1
05/10/2024   02:19:02  AM|MISC PUB|8XX  QUEEN ST|HONOLULU|District 1
05/10/2024   02:12:42  AM|ALARM CALL|23XX  ALAHAO PL|KALIHI|District 5
05/10/2024   01:55:46  AM|AGGRAVATED ASSAULT|9810XX  MOANALUA RD|AIEA|District 3
05/09/2024   21:38:10  PM|DUI|XX  H1E FWY|WAIPAHU|District 3
05/09/2024   20:41:22  PM|DUI|MFW EXIT 1E / H3E FWY|AIEA|District 3
