04/10/2024   04:13:31  AM|THEFT|21XX  KALAKAUA AVE|WAIKIKI|District 6
04/10/2024   04:06:28  AM|MISC SERVICE CALL|56XX  DOVEKIE AVE|IROQUOIS|District 8
04/10/2024   04:05:31  AM|PARKING VIOLATION|15XX  ALEXANDER ST|MANOA|District 7
04/10/2024   04:04:48  AM|ARGUMENT FAMILY|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
04/10/2024   04:04:13  AM|MISC PUB|9101XX  OLAI ST|KAPOLEI|District 8
04/10/2024   03:13:36  AM|VEH TOWED|WAIANAE VALLEY RD / MILL ST|WAIANAE|District 8
04/10/2024   02:00:11  AM|FAMILY OFF/NEG|8602XX  FARRINGTON HWY|WAIANAE|District 8
04/10/2024   01:15:36  AM|BURGLARY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
04/10/2024   00:49:56  AM|DUI|3XX  W MOANALUA FWY|MOANALUA V|District 5
