06/04/2023   05:24:00  AM|SUSP CIRCUMSTANCE|27XX  WAIALAE AVE|MCCULLY|District 7
06/04/2023   05:23:53  AM|FOLLOW UP|12XX  ALA KAPUNA|MOANALUA V|District 5
06/04/2023   05:22:47  AM|MVC VEH TOWED|11XX  KINAU ST|HONOLULU|District 1
06/04/2023   05:20:52  AM|NUISANCE COMPLAINT|WARD AVE / GREEN ST|PUNCHBOWL|District 1
06/04/2023   04:51:21  AM|FIRE CALL|16XX  WAIKAHALULU LN|NUUANU|District 5
06/04/2023   04:13:54  AM|DUI|13XX  S BERETANIA ST|HONOLULU|District 1
06/04/2023   03:37:32  AM|ROBBERY|KAPIOLANI BLVD / MAHUKONA ST|ALA MOANA|District 1
06/04/2023   03:15:55  AM|BURGLARY|9404XX  PAPOLOHIWA ST|MILILANI|District 2
06/04/2023   02:23:53  AM|MVC VEH TOWED|IROQUOIS RD / WEST LOCH DR|EWA BEACH|District 8
