02/02/2024   22:10:37  PM|THEFT|11XX  KUALA ST|PEARL CITY|District 3
02/02/2024   22:07:12  PM|NUISANCE COMPLAINT|16XX  YOUNG ST|MCCULLY|District 7
02/02/2024   22:03:26  PM|TRAFFIC COMPLAINT|LAMALOA PL / PALOLO AVE|KAIMUKI|District 7
02/02/2024   22:02:11  PM|MISC SERVICE CALL|12XX  ALA MOANA BLVD|ALA MOANA|District 1
02/02/2024   22:01:24  PM|NUISANCE COMPLAINT|12XX  UNIVERSITY AVE|MCCULLY|District 7
02/02/2024   22:00:28  PM|SIMPLE ASSAULT|6XX  HAHAIONE ST|HAWAII KAI|District 7
02/02/2024   21:47:31  PM|MISC SERVICE CALL|5901XX  KE NUI RD|SUNSET|District 2
02/02/2024   21:32:56  PM|TRESPASS WARN|9211XX  ALIINUI DR|KAPOLEI|District 8
02/02/2024   21:29:49  PM|SIMPLE ASSAULT|WILDER AVE / ALEXANDER ST|MANOA|District 7
02/02/2024   21:24:40  PM|DISORDERLY CONDUCT|42XX  WAIALAE AVE|KAIMUKI|District 7
