12/29/2022   04:28:21  AM|ARGUMENT|9810XX  MOANALUA RD|AIEA|District 3
12/29/2022   04:27:56  AM|SIMPLE ASSAULT|23XX  KUHIO AVE|WAIKIKI|District 6
12/29/2022   04:24:23  AM|LOUD PARTY|58XX  FULMAR AVE|IROQUOIS|District 8
12/29/2022   04:21:49  AM|SUSP PERSON|9501XX  KUAHELANI AVE|MILILANI|District 2
12/29/2022   03:43:04  AM|MVC|9110XX  KAIMALIE ST|EWA BEACH|District 8
12/29/2022   03:20:13  AM|UNATTENDED DEATH|24XX  KAPIOLANI BLVD|MCCULLY|District 7
12/29/2022   02:19:00  AM|SIMPLE ASSAULT|8600XX  FARRINGTON HWY|WAIANAE|District 8
12/29/2022   02:13:21  AM|FAMILY OFF/NEG|8504XX  FARRINGTON HWY|WAIANAE|District 8
12/28/2022   23:46:59  PM|DUI|FORT WEAVER RD / PAPIPI RD|EWA BEACH|District 8
12/28/2022   23:39:56  PM|DUI|9121XX  FORT WEAVER RD|EWA BEACH|District 8
