06/02/2024   23:11:07  PM|BURGLARY|7XX  PIIKOI ST|HONOLULU|District 1
06/02/2024   23:08:26  PM|MISC PUB|9812XX  KAAHUMANU ST|PEARL CITY|District 3
06/02/2024   23:06:43  PM|ARGUMENT|11XX  KUALA ST|PEARL CITY|District 3
06/02/2024   22:53:27  PM|DISORDERLY CONDUCT|5XX  UNIVERSITY AVE|MCCULLY|District 7
06/02/2024   22:33:51  PM|FAMILY OFF/NEG|17XX  NALULU PL|WAIALAE|District 7
06/02/2024   22:30:16  PM|ALARM CALL|31XX  N NIMITZ HWY|AIRPORT|District 5
06/02/2024   21:02:14  PM|VEH TOWED|9408XX  LUMIAINA ST|WAIPIO|District 3
06/02/2024   19:50:06  PM|MISSING PERSON|89XX  KALANIANAOLE HWY|HAWAII KAI|District 7
06/02/2024   19:28:12  PM|UEMV|8509XX  FARRINGTON HWY|WAIANAE|District 8
