03/05/2025   01:11:22  AM|STALLED/HAZARD VEH|LIKELIKE ONTO H3W|KANEOHE|District 4
03/05/2025   01:09:30  AM|SIMPLE ASSAULT|22XX  NUUANU AVE|NUUANU|District 5
03/05/2025   00:57:08  AM|RUNAWAY CXL|18XX  KAM IV RD|KALIHI|District 5
03/05/2025   00:51:55  AM|TRAFFIC COMPLAINT|ST LOUIS DR / LIBERT ST|KAIMUKI|District 7
03/05/2025   00:48:09  AM|RUNAWAY CXL|18XX  KAM IV RD|KALIHI|District 5
03/05/2025   00:40:11  AM|DUI|4XX  ENA RD|WAIKIKI|District 6
03/05/2025   00:37:42  AM|WARRANT ARREST|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
03/04/2025   23:56:17  PM|OVERDUE RENTAL CXL|29XX  KAPIOLANI BLVD|KAPAHULU|District 7
03/04/2025   23:26:03  PM|DUI|FORT WEAVER RD / KUHINA ST|EWA BEACH|District 8
03/04/2025   13:01:37  PM|MISC PUB|PAKI AVE / MONSARRAT AVE|WAIKIKI|District 6
