12/22/2023   16:29:08  PM|TRESPASS|2XX  KAPAHULU AVE|WAIKIKI|District 6
12/22/2023   16:28:12  PM|MVC|ALIINUI DR / OLANI ST|KAPOLEI|District 8
12/22/2023   16:28:02  PM|NUISANCE COMPLAINT|25XX  PALI HWY|NUUANU|District 5
12/22/2023   16:27:53  PM|MISC SERVICE CALL|9110XX  PUAMAEOLE ST|EWA BEACH|District 8
12/22/2023   16:26:03  PM|MVC|8XX  VALKENBURGH ST|AIRPORT|District 5
12/22/2023   16:25:35  PM|TRAFFIC CONTROL DEVICE|KAM HWY / HALAULANI ST|KANEOHE|District 4
12/22/2023   16:23:56  PM|ANIMAL NOISE|15XX  MAWAE PL|KALIHI|District 5
12/22/2023   16:18:37  PM|MISC SERVICE CALL|9810XX  MOANALUA RD|AIEA|District 3
12/22/2023   16:14:12  PM|MISC PUB|N SCHOOL ST / LILIHA ST|NUUANU|District 5
12/22/2023   16:13:23  PM|MISC PUB|8XX  ALA LILIKOI ST|SALT LAKE|District 5
12/22/2023   16:11:00  PM|AUTO THEFT|5904XX  ALAPIO RD|SUNSET|District 2
12/22/2023   16:00:11  PM|THEFT|1XX  ONEAWA ST|KAILUA|District 4
12/22/2023   15:48:58  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/22/2023   15:46:17  PM|PARKING VIOLATION|5XX  WAILEPO ST|KAILUA|District 4
12/22/2023   15:28:05  PM|MVC|4116XX  KALANIANAOLE HWY|WAIMANALO|District 4
12/22/2023   15:27:14  PM|MISC SERVICE CALL|5504XX  PALEKANA ST|LAIE|District 4
12/22/2023   15:05:33  PM|HARASSMENT|4600XX  KAM HWY|KANEOHE|District 4
12/22/2023   14:49:27  PM|MVC|4600XX  KAM HWY|KANEOHE|District 4
12/22/2023   13:52:35  PM|FAMILY OFF/NEG|4107XX  MEKIA ST|WAIMANALO|District 4
12/22/2023   12:27:53  PM|DEFIB CALL|5506XX  NANILOA LOOP|LAIE|District 4
12/22/2023   10:14:47  AM|UNATTENDED DEATH|6XX  HALEKAUWILA ST|HONOLULU|District 1
