08/20/2024   02:54:39  AM|MISC SERVICE CALL|17XX  ALA MOANA BLVD|WAIKIKI|District 6
08/20/2024   02:49:27  AM|THEFT|KAMAKEE ST / ALA MOANA BLVD|ALA MOANA|District 1
08/20/2024   02:38:00  AM|DUI|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
08/20/2024   02:26:59  AM|MISC CRIME OFFENSE|54XX  KALANIANAOLE HWY|AINA HAINA|District 7
08/20/2024   01:56:54  AM|MVC VEH TOWED|19XX  BINGHAM ST|MCCULLY|District 7
08/20/2024   01:50:24  AM|VEH TOWED|MCCULLY ST / WAIOLA ST|MCCULLY|District 7
08/20/2024   01:41:06  AM|VEH TOWED|KALAKAUA AVE / S KING ST|HONOLULU|District 1
08/20/2024   00:33:03  AM|SEX ASSAULT|8XX  S KING ST|HONOLULU|District 1
08/19/2024   23:35:13  PM|AUTO THEFT RECOVERY|AUWAHA ST / KAMAHOI ST|EWA BEACH|District 8
08/19/2024   12:11:22  PM|MISC PUB|7XX  S KING ST|HONOLULU|District 1
