01/26/2025   00:42:18  AM|NOISE COMPLAINT|16XX  TINKER RD|BELLOWS|District 4
01/26/2025   00:39:44  AM|SUSP CIRCUMSTANCE|48XX  W EHA WAY|IROQUOIS|District 8
01/26/2025   00:39:14  AM|MISC PUB|8710XX  ANAHA ST|MAILI|District 8
01/26/2025   00:35:56  AM|STALLED/HAZARD VEH|9405XX  KAM HWY|MILILANI|District 2
01/26/2025   00:33:30  AM|SUSP PERSON|1XX  HAUOLA AVE|WAHIAWA|District 2
01/26/2025   00:21:21  AM|MISC PUB|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/25/2025   23:51:45  PM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/25/2025   23:21:00  PM|MVC VEH TOWED|8605XX  HALONA RD|WAIANAE|District 8
01/25/2025   21:22:51  PM|FOLLOW UP|1XX  LEHUA ST|WAHIAWA|District 2
01/25/2025   21:07:43  PM|FAMILY OFF/NEG|8600XX  FARRINGTON HWY|WAIANAE|District 8
