07/30/2023   16:06:58  PM|MISC SERVICE CALL|9900XX  KALALOA ST|AIEA|District 3
07/30/2023   16:01:43  PM|THEFT|1XX  HOLOMOANA ST|WAIKIKI|District 6
07/30/2023   15:54:55  PM|ROBBERY|20XX  S KING ST|MCCULLY|District 7
07/30/2023   15:45:34  PM|SUSP CIRCUMSTANCE|4XX  AULIMA LOOP|KAILUA|District 4
07/30/2023   15:44:56  PM|SEX ASSAULT|8405XX  MANUKU ST|MAKAHA|District 8
07/30/2023   15:34:10  PM|SUSP CIRCUMSTANCE|5700XX  KAM HWY|KAHUKU|District 4
07/30/2023   14:34:50  PM|FOLLOW UP|6XX  ULUKAHIKI ST|KAILUA|District 4
07/30/2023   10:37:39  AM|AGGRAVATED ASSAULT|6XX  MALUNIU AVE|KAILUA|District 4
07/30/2023   08:42:53  AM|VEH TOWED|63XX  PALI HWY|KAILUA|District 4
