01/28/2024   00:43:23  AM|SUSP CIRCUMSTANCE|4XX  N KING ST|DOWNTOWN|District 1
01/28/2024   00:37:35  AM|ARGUMENT|8701XX  HELELUA ST|NANAKULI|District 8
01/28/2024   00:21:26  AM|BURGLARY|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/28/2024   00:18:25  AM|VEH TOWED|LIKELIKE HWY / KAM IV RD|KALIHI|District 5
01/28/2024   00:04:35  AM|SUSP PERSON|9510XX  KAHAKIKI ST|MILILANI|District 2
01/27/2024   23:50:42  PM|MVC VEH TOWED|2XX  H1W FWY|NUUANU|District 5
01/27/2024   23:49:25  PM|WARRANT ARREST|PUA LN / N VINEYARD BLVD|KALIHI|District 5
01/27/2024   23:34:43  PM|NOISE COMPLAINT|6801XX  FARRINGTON HWY|MOKULEIA|District 2
01/27/2024   23:19:30  PM|MISC PUB|3XX  PALM ST|WAHIAWA|District 2
