01/31/2024   02:13:16  AM|MISC PUB|15XX  N SCHOOL ST|KALIHI|District 5
01/31/2024   02:12:11  AM|MVC|13XX  PUNAHOU ST|MCCULLY|District 7
01/31/2024   01:43:41  AM|ARGUMENT|XX  KARSTEN DR|WAHIAWA|District 2
01/31/2024   01:41:36  AM|UEMV|18XX  LAUKAHI ST|WAIALAE|District 7
01/31/2024   01:28:23  AM|SUSP CIRCUMSTANCE|27XX  KAIMUKI AVE|KAPAHULU|District 7
01/31/2024   01:14:23  AM|RUNAWAY|13XX  NUUANU AVE|DOWNTOWN|District 1
01/31/2024   00:22:23  AM|DUI|KALAKAUA AVE / KAPIOLANI BLVD|ALA MOANA|District 1
01/30/2024   22:45:20  PM|WEAPONS|5XX  WARD AVE|HONOLULU|District 1
01/30/2024   15:44:37  PM|ROBBERY|2XX  PAOAKALANI AVE|WAIKIKI|District 6
