01/29/2025   05:27:12  AM|NUISANCE COMPLAINT|9XX  N KALAHEO AVE|KAILUA|District 4
01/29/2025   05:24:05  AM|ARGUMENT|12XX  N SCHOOL ST|KALIHI|District 5
01/29/2025   05:23:04  AM|STALLED/HAZARD VEH|1XX  H1E FWY|AIRPORT|District 5
01/29/2025   05:10:46  AM|PARKING VIOLATION|9110XX  KAIPU ST|EWA BEACH|District 8
01/29/2025   04:52:19  AM|BURGLARY|9XX  VALKENBURGH ST|MOANALUA|District 5
01/29/2025   04:06:55  AM|MVC VEH TOWED|8701XX  MAIPALAOA RD|MAILI|District 8
01/29/2025   02:02:33  AM|MISC PUB|9103XX  KOMOHANA PL|KAPOLEI|District 8
01/29/2025   01:16:01  AM|FAMILY OFF/NEG|21XX  KUHIO AVE|WAIKIKI|District 6
01/28/2025   22:02:40  PM|DISORDERLY CONDUCT|20XX  KALAKAUA AVE|WAIKIKI|District 6
