01/06/2024   20:13:22  PM|HARASSMENT|22XX  KALAKAUA AVE|WAIKIKI|District 6
01/06/2024   20:09:08  PM|MISC SERVICE CALL|6XX  ULUKAHIKI ST|KAILUA|District 4
01/06/2024   20:05:13  PM|MVC|4510XX  KAM HWY|KANEOHE|District 4
01/06/2024   20:03:36  PM|MEDICAL ASSIST|11XX  KUKILA PL|AIEA|District 3
01/06/2024   20:02:53  PM|SUSP PERSON|9104XX  PUPU ST|EWA BEACH|District 8
01/06/2024   19:59:04  PM|FOLLOW UP|4502XX  KANEOHE BAY DR|KANEOHE|District 4
01/06/2024   19:50:26  PM|THREATENING|8712XX  HAKIMO RD|NANAKULI|District 8
01/06/2024   19:24:23  PM|ARGUMENT|5XX  FARRINGTON HWY|KAPOLEI|District 8
01/06/2024   19:11:52  PM|FAMILY OFF/NEG|66XX  KALANIANAOLE HWY|HAWAII KAI|District 7
