02/15/2025   05:57:59  AM|MISC SERVICE CALL|4105XX  POALIMA ST|WAIMANALO|District 4
02/15/2025   05:19:41  AM|SIMPLE ASSAULT|5XX  FARRINGTON HWY|KAPOLEI|District 8
02/15/2025   05:09:42  AM|VEH TOWED|KAMAKEE ST / ALA MOANA BLVD|ALA MOANA|District 1
02/15/2025   04:51:39  AM|MVC VEH TOWED|97XX  KALANIANAOLE HWY|HAWAII KAI|District 7
02/15/2025   04:05:18  AM|FOLLOW UP|10XX  KEKAULIKE ST|DOWNTOWN|District 1
02/15/2025   03:36:11  AM|ARGUMENT FAMILY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/15/2025   03:34:06  AM|BURGLARY|9110XX  MIDWAY ST|KALAELOA|District 8
02/15/2025   02:39:21  AM|FAMILY OFF/NEG|23XX  KALAUNU ST|KALIHI|District 5
02/15/2025   02:29:53  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
02/15/2025   02:09:50  AM|SIMPLE ASSAULT|15XX  ALEWA DR|KALIHI|District 5
