05/31/2024   22:43:52  PM|MVC|KAUKONAHUA RD / WILIKINA DR|WAHIAWA|District 2
05/31/2024   22:37:25  PM|DUI|FARRINGTON HWY / WAIAWA RD|WAIPAHU|District 3
05/31/2024   22:33:39  PM|NUISANCE COMPLAINT|5XX  KAAAHI ST|KALIHI|District 5
05/31/2024   22:25:05  PM|MISC PUB|KAAHUMANU ST / KOMO MAI DR|PEARL CITY|District 3
05/31/2024   22:24:03  PM|STALLED/HAZARD VEH|H1W AIEA PED OP|AIEA|District 3
05/31/2024   22:20:12  PM|MISC CRIME OFFENSE|14XX  AHONUI ST|KALIHI|District 5
05/31/2024   21:57:59  PM|VEH TOWED|KALIHI ST / N NIMITZ HWY|KALIHI|District 5
05/31/2024   21:33:57  PM|MISC PUB|32XX  PAUMAKA PL|MANOA|District 7
05/31/2024   20:19:00  PM|TRESPASS|14XX  ALA MOANA BLVD|ALA MOANA|District 1
05/31/2024   19:44:53  PM|TRESPASS WARN|47XX  BOUGAINVILLE DR|MOANALUA|District 5
