12/29/2022   19:12:14  PM|NUISANCE COMPLAINT|E MANOA RD / MOHALA WAY|MANOA|District 7
12/29/2022   19:09:35  PM|UEMV|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
12/29/2022   19:08:14  PM|ARGUMENT|5305XX  KAM HWY|PUNALUU|District 4
12/29/2022   19:05:05  PM|MEDICAL ASSIST|11XX  GULICK AVE|KALIHI|District 5
12/29/2022   19:02:03  PM|UEMV|15XX  KAPIOLANI BLVD|ALA MOANA|District 1
12/29/2022   19:01:15  PM|FAMILY OFF/NEG|8405XX  FARRINGTON HWY|MAKAHA|District 8
12/29/2022   18:58:42  PM|FAMILY OFF/NEG|9403XX  HAKAMOA ST|MILILANI|District 2
12/29/2022   18:47:41  PM|AUTO THEFT|6200XX  KAHALEWAI PL|HALEIWA|District 2
12/29/2022   18:46:00  PM|SUSP CIRCUMSTANCE|8602XX  FARRINGTON HWY|WAIANAE|District 8
12/29/2022   18:45:15  PM|SIMPLE ASSAULT|1XX  PAOA PL|WAIKIKI|District 6
12/29/2022   18:35:08  PM|WARRANT ARREST|11XX  WAIMANO HOME RD|PEARL CITY|District 3
12/29/2022   17:53:27  PM|WARRANT ARREST|4XX  NAMAHANA ST|WAIKIKI|District 6
12/29/2022   17:49:38  PM|WARRANT ARREST|2XX  PAOAKALANI AVE|WAIKIKI|District 6
12/29/2022   17:42:20  PM|FRAUD|13XX  KAIHEE ST|MAKIKI|District 1
12/29/2022   17:16:37  PM|THEFT|5902XX  KE NUI RD|SUNSET|District 2
12/29/2022   16:57:07  PM|VEH TOWED|4504XX  MAKALANI ST|KANEOHE|District 4
12/29/2022   16:56:29  PM|FAMILY OFF/NEG|4105XX  KUALAU PL|WAIMANALO|District 4
12/29/2022   16:20:41  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
12/29/2022   16:05:45  PM|THEFT|9802XX  KAONOHI ST|AIEA|District 3
12/29/2022   16:05:44  PM|THEFT|1XX  N PAUAHI ST|DOWNTOWN|District 1
