08/21/2023   22:58:54  PM|DROPPED CALL|9505XX  HOAKA PL|MILILANI|District 2
08/21/2023   22:58:34  PM|FOLLOW UP|47XX  BOUGAINVILLE DR|MOANALUA|District 5
08/21/2023   22:58:33  PM|MISC SERVICE CALL|17XX  FERN ST|MCCULLY|District 1
08/21/2023   22:43:39  PM|MISC PUB|9108XX  KELEAWE PL|EWA BEACH|District 8
08/21/2023   22:35:22  PM|MISC SERVICE CALL|N BERETANIA ST / MAUNAKEA ST|DOWNTOWN|District 1
08/21/2023   22:31:32  PM|WARRANT ARREST|CORAL SEA RD / TRIPOLI ST|KALAELOA|District 8
08/21/2023   22:30:20  PM|MISC SERVICE CALL|8700XX  FARRINGTON HWY|MAILI|District 8
08/21/2023   22:24:44  PM|MVC VEH TOWED|32XX  HARDING AVE|KAIMUKI|District 7
08/21/2023   22:18:45  PM|MVC VEH TOWED|PALI HWY / NUUANU PALI DR|NUUANU|District 5
08/21/2023   22:15:46  PM|VEH TOWED|54XX  KALANIANAOLE HWY|AINA HAINA|District 7
