08/20/2023   11:42:26  AM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
08/20/2023   11:36:39  AM|ARGUMENT|5701XX  W KUILIMA LOOP|KAHUKU|District 4
08/20/2023   11:36:29  AM|MVC|5600XX  KAM HWY|LAIE|District 4
08/20/2023   11:32:39  AM|ARGUMENT FAMILY|4704XX  WAIHEE RD|KAHALUU|District 4
08/20/2023   11:31:52  AM|FIRE CALL|FARRINGTON HWY / FORT WEAVER RD|EWA BEACH|District 8
08/20/2023   11:26:16  AM|MISC PUB|4703XX  KAM HWY|KANEOHE|District 4
08/20/2023   11:18:39  AM|AUTO THEFT RECOVERY|5XX  ALAKAWA ST|KALIHI|District 5
08/20/2023   11:12:17  AM|AUTO THEFT|4601XX  NAHIKU ST|KANEOHE|District 4
08/20/2023   10:27:32  AM|MISC PUB|5907XX  KAM HWY|SUNSET|District 2
