06/11/2024   04:08:12  AM|PROPERTY DAMAGE|1XX  LEHUA ST|WAHIAWA|District 2
06/11/2024   04:05:37  AM|TRAFFIC INCIDENT|8720XX  FARRINGTON HWY|NANAKULI|District 8
06/11/2024   03:47:28  AM|TRAFFIC COMPLAINT|43XX  PAHOA AVE|KAIMUKI|District 7
06/11/2024   03:28:15  AM|TRESPASS|4505XX  PUONI PL|KANEOHE|District 4
06/11/2024   02:37:06  AM|FAMILY OFF/NEG|8701XX  LINAKOLA ST|MAILI|District 8
06/11/2024   00:50:12  AM|RUNAWAY CXL|8XX  KANOA ST|KALIHI|District 5
06/11/2024   00:40:12  AM|MVC VEH TOWED|KUHIMANA ST / MOOLE ST|WAIMANALO|District 4
06/11/2024   00:32:09  AM|FOLLOW UP|AUWAHA ST / RENTON RD|EWA BEACH|District 8
06/10/2024   23:24:31  PM|AGGRAVATED ASSAULT|8501XX  MCARTHUR ST|WAIANAE|District 8
