01/06/2024   01:57:08  AM|NUISANCE COMPLAINT|4501XX  WAIKALUA RD|KANEOHE|District 4
01/06/2024   01:38:05  AM|TRAFFIC ARREST/CITATION|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
01/06/2024   01:33:28  AM|MVC VEH TOWED|ENTERPRISE AVE / WRIGHT ST|KALAELOA|District 8
01/06/2024   01:28:30  AM|MVC VEH TOWED|N NIMITZ HWY / WAIAKAMILO RD|KALIHI|District 5
01/06/2024   01:25:56  AM|DUI|KAPIOLANI BLVD / MCCULLY ST|MCCULLY|District 7
01/06/2024   00:56:53  AM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|AIRPORT|District 5
01/06/2024   00:19:26  AM|FAMILY OFF/NEG|5XX  KEAWE ST|HONOLULU|District 1
01/06/2024   00:18:15  AM|FAMILY OFF/NEG|8502XX  FARRINGTON HWY|WAIANAE|District 8
01/05/2024   23:25:58  PM|DUI|KAPOLEI PKWY / GEIGER RD|EWA BEACH|District 8
01/05/2024   23:13:29  PM|DUI|KUALAKAI PKWY / FARRINGTON HWY|KAPOLEI|District 8
