03/23/2024   05:39:13  AM|NOISE COMPLAINT|13XX  HELE ST|KAILUA|District 4
03/23/2024   05:32:56  AM|MVC|31XX  N NIMITZ HWY|AIRPORT|District 5
03/23/2024   05:19:10  AM|THEFT|9400XX  FARRINGTON HWY|WAIPAHU|District 3
03/23/2024   05:02:23  AM|RUNAWAY CXL|29XX  ALA ILIMA|SALT LAKE|District 5
03/23/2024   05:01:27  AM|THEFT|22XX  KUHIO AVE|WAIKIKI|District 6
03/23/2024   03:04:51  AM|MVC VEH TOWED|19XX  AHUULA ST|KALIHI|District 5
03/23/2024   02:11:58  AM|DISORDERLY CONDUCT|13XX  DILLINGHAM BLVD|KALIHI|District 5
03/23/2024   01:11:44  AM|MVC VEH TOWED|MIDDLE ST / KAUA ST|MOANALUA V|District 5
03/23/2024   00:35:19  AM|FAMILY OFF/NEG|8507XX  PILIUKA PL|WAIANAE|District 8
