08/15/2024   20:28:23  PM|ARGUMENT|8502XX  ALA AKAU ST|WAIANAE|District 8
08/15/2024   20:26:49  PM|FOUND PROPERTY|23XX  KUHIO AVE|WAIKIKI|District 6
08/15/2024   20:26:40  PM|MISC PUB|5XX  N JUDD ST|NUUANU|District 5
08/15/2024   20:23:15  PM|MVC|23XX  KALAKAUA AVE|WAIKIKI|District 6
08/15/2024   20:11:23  PM|AUTO THEFT|10XX  AUAHI ST|HONOLULU|District 1
08/15/2024   20:05:27  PM|SUSP CIRCUMSTANCE|2XX  H1E FWY|HONOLULU|District 1
08/15/2024   20:02:14  PM|THREATENING|7XX  AUWAIOLIMU ST|MAKIKI|District 1
08/15/2024   19:58:19  PM|THREATENING|9XX  KALANIANAOLE HWY|KAILUA|District 4
08/15/2024   19:32:47  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
08/15/2024   18:35:08  PM|RAPE|17XX  ALA MOANA BLVD|WAIKIKI|District 6
