05/12/2023   03:36:12  AM|UEMV|9905XX  SALT LAKE BLVD|AIEA|District 3
05/12/2023   03:35:11  AM|TRAFFIC STOP|IWILEI RD / N KING ST|DOWNTOWN|District 1
05/12/2023   03:19:49  AM|SUSP CIRCUMSTANCE|6702XX  GOODALE AVE|WAIALUA|District 2
05/12/2023   03:12:59  AM|AUTO THEFT|9520XX  WAIKALANI PL|MILILANI|District 2
05/12/2023   02:48:39  AM|WEAPONS|9502XX  KUKINI PL|MILILANI|District 2
05/12/2023   01:32:14  AM|VEH TOWED|PHILIP ST / KALAKAUA AVE|HONOLULU|District 1
05/12/2023   00:37:49  AM|MVC|8509XX  WAIANAE VALLEY RD|WAIANAE|District 8
05/11/2023   23:57:06  PM|RUNAWAY CXL|5XX  CALIFORNIA AVE|WAHIAWA|District 2
05/11/2023   22:22:49  PM|SIMPLE ASSAULT|24XX  KALAKAUA AVE|WAIKIKI|District 6
