10/13/2023   06:43:55  AM|SUSP CIRCUMSTANCE|49XX  MOKUPEA PL|IROQUOIS|District 8
10/13/2023   06:42:56  AM|NUISANCE COMPLAINT|7XX  HOOMAEMAE ST|PEARL CITY|District 3
10/13/2023   06:35:19  AM|MVC|KALANIANAOLE HWY / FLAMINGO ST|WAIMANALO|District 4
10/13/2023   06:27:39  AM|NUISANCE COMPLAINT|1XX  ONEAWA ST|KAILUA|District 4
10/13/2023   06:27:19  AM|FOLLOW UP|9407XX  KAM HWY|WAIPIO|District 3
10/13/2023   06:18:55  AM|MISC PUB|7XX  KAPIOLANI BLVD|HONOLULU|District 1
10/13/2023   06:13:30  AM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
10/13/2023   06:04:21  AM|FRAUD|27XX  S KING ST|MCCULLY|District 7
10/13/2023   06:01:07  AM|HARASSMENT|30XX  KAHALOA DR|MANOA|District 7
10/13/2023   05:54:48  AM|PROPERTY DAMAGE|5XX  UNIVERSITY AVE|MCCULLY|District 7
