11/07/2023   00:29:41  AM|LOUD PARTY|26XX  S KING ST|MCCULLY|District 7
11/07/2023   00:12:15  AM|NUISANCE COMPLAINT|14XX  YOUNG ST|HONOLULU|District 1
11/06/2023   23:39:49  PM|MISC PUB|KAPOLEI PKWY / KOLOWAKA DR|EWA BEACH|District 8
11/06/2023   23:30:50  PM|MISC PUB|16XX  HAKA DR|KALIHI|District 5
11/06/2023   23:29:20  PM|MISC PUB|KUALAKAI PKWY / KEAHUMOA PKWY|EWA BEACH|District 8
11/06/2023   23:29:17  PM|MISC PUB|KAM HWY / PUU PONI ST|PEARL CITY|District 3
11/06/2023   23:25:31  PM|MISC PUB|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
11/06/2023   23:18:18  PM|MISC PUB|ALA MOANA BLVD / ATKINSON DR|ALA MOANA|District 1
11/06/2023   23:13:55  PM|MISC PUB|GEIGER RD / KAMAKANA ST|EWA BEACH|District 8
11/06/2023   20:14:11  PM|TRESPASS WARN|9118XX  FORT WEAVER RD|EWA BEACH|District 8
