05/06/2024   04:14:03  AM|ARGUMENT|16XX  KAPIOLANI BLVD|HONOLULU|District 1
05/06/2024   04:13:01  AM|TRESPASS|4XX  SEASIDE AVE|WAIKIKI|District 6
05/06/2024   04:11:25  AM|THEFT|9800XX  LII IPO ST|AIEA|District 3
05/06/2024   04:01:55  AM|TRESPASS|11XX  DILLINGHAM BLVD|KALIHI|District 5
05/06/2024   03:47:58  AM|VEH TOWED|3XX  LEWERS ST|WAIKIKI|District 6
05/06/2024   03:37:04  AM|THEFT|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/06/2024   03:08:37  AM|UNATTENDED DEATH|9121XX  FORT WEAVER RD|EWA BEACH|District 8
05/06/2024   02:54:12  AM|FOLLOW UP|LEIHOKU ST / HOKUUKALI ST|WAIANAE|District 8
05/06/2024   01:31:39  AM|DISORDERLY CONDUCT|9400XX  LEOLUA ST|WAIPAHU|District 3
05/05/2024   23:43:36  PM|VEH NOISE|8600XX  POKAI BAY ST|WAIANAE|District 8
