05/26/2023   04:57:06  AM|PARKING VIOLATION|4602XX  KAHUHIPA ST|KANEOHE|District 4
05/26/2023   04:36:58  AM|AUTO THEFT RECOVERY|QUEEN ST / KAMAKEE ST|HONOLULU|District 1
05/26/2023   04:36:27  AM|FOLLOW UP|17XX  KEWALO ST|MAKIKI|District 1
05/26/2023   04:27:51  AM|MISC PUB|19XX  CALIFORNIA AVE|WAHIAWA|District 2
05/26/2023   04:12:08  AM|FOLLOW UP|51XX  ASHLEY AVE|PC PEN|District 3
05/26/2023   04:07:48  AM|MISC PUB|10XX  NUUANU AVE|DOWNTOWN|District 1
05/26/2023   03:57:53  AM|FIRE CALL|4XX  KAM HWY|PEARL CITY|District 3
05/26/2023   03:32:50  AM|BURGLARY|1XX  SAND ISLAND ACC RD|KALIHI|District 5
05/26/2023   01:36:53  AM|FOLLOW UP|9407XX  FARRINGTON HWY|WAIPAHU|District 3
