11/29/2024   05:12:13  AM|MISSING PERSON|4XX  NOHONANI ST|WAIKIKI|District 6
11/29/2024   05:07:03  AM|ARGUMENT FAMILY|9113XX  KEKAHILI ST|KAPOLEI|District 8
11/29/2024   04:54:46  AM|FAMILY OFF/NEG|8XX  ALA LILIKOI ST|SALT LAKE|District 5
11/29/2024   04:37:14  AM|MVC VEH TOWED|9409XX  KAM HWY|WAIPIO|District 3
11/29/2024   03:32:31  AM|FAMILY OFF/NEG|XX  BELLEAU WOODS ST|KALAELOA|District 8
11/29/2024   03:21:58  AM|FAMILY OFF/NEG|8602XX  FARRINGTON HWY|WAIANAE|District 8
11/29/2024   03:02:46  AM|DISORDERLY CONDUCT|31XX  ALA ILIMA|SALT LAKE|District 5
11/29/2024   02:04:10  AM|DUI|12XX  S BERETANIA ST|HONOLULU|District 1
11/29/2024   00:23:13  AM|ARSON|14XX  LUSITANA ST|HONOLULU|District 1
