06/18/2023   21:26:30  PM|MISC PUB|25XX  WAOLANI AVE|NUUANU|District 5
06/18/2023   21:19:34  PM|PARKING VIOLATION|9XX  HAUSTEN ST|MCCULLY|District 7
06/18/2023   21:17:05  PM|ARGUMENT FAMILY|4500XX  KA HANAHOU PL|KANEOHE|District 4
06/18/2023   21:10:39  PM|RUNAWAY|8705XX  KULAAUPUNI ST|MAILI|District 8
06/18/2023   21:10:17  PM|FIREWORKS VIOLATION|8704XX  KAUKAMA RD|MAILI|District 8
06/18/2023   21:05:36  PM|AGGRAVATED ASSAULT|8507XX  KAUPUNI PL|WAIANAE|District 8
06/18/2023   21:01:23  PM|VEH TOWED|XX  H1W FWY|WAIPAHU|District 3
06/18/2023   20:26:56  PM|SUSP CIRCUMSTANCE|4XX  KIHAPAI ST|KAILUA|District 4
06/18/2023   20:23:07  PM|MVC VEH TOWED|HOOKELE ST / KULAUKU ST|MAILI|District 8
06/18/2023   14:55:23  PM|MVC VEH TOWED|KALANIANAOLE HWY / LUNALILO HOME RD|HAWAII KAI|District 7
