04/23/2024   22:56:24  PM|ALARM CALL|6XX  MAPUNAPUNA ST|MAPUNAPUNA|District 5
04/23/2024   22:53:11  PM|NOISE COMPLAINT|9101XX  PAPIPI RD|EWA BEACH|District 8
04/23/2024   22:52:42  PM|TRAFFIC STOP|KAM HWY / WAIHEE RD|KAHALUU|District 4
04/23/2024   22:51:27  PM|ARGUMENT|25XX  KALAKAUA AVE|WAIKIKI|District 6
04/23/2024   22:49:20  PM|AUTO THEFT RECOVERY|16XX  ALA MOANA BLVD|WAIKIKI|District 6
04/23/2024   22:41:22  PM|PARKING VIOLATION|21XX  AVE / PAHOA AVE|KAIMUKI|District 7
04/23/2024   22:33:56  PM|MISC CRIME OFFENSE|MONSARRAT AVE / KALAKAUA AVE|WAIKIKI|District 6
04/23/2024   22:32:31  PM|MVC VEH TOWED|KALAWAO ST / KALOALUIKI ST|MANOA|District 7
04/23/2024   22:13:40  PM|ARGUMENT LANDLORD TENANT|8XX  PUUIKENA DR|AINA HAINA|District 7
04/23/2024   20:46:28  PM|AGGRAVATED ASSAULT|8701XX  HELELUA ST|NANAKULI|District 8
