10/09/2023   16:43:31  PM|THEFT|9812XX  KAAHUMANU ST|PEARL CITY|District 3
10/09/2023   16:40:14  PM|AUTO THEFT|4801XX  KAM HWY|KAHALUU|District 4
10/09/2023   16:37:38  PM|PROPERTY DAMAGE|5606XX  KAM HWY|KAHUKU|District 4
10/09/2023   16:34:41  PM|FAMILY OFF/NEG|9118XX  KEAUNUI DR|EWA BEACH|District 8
10/09/2023   16:32:17  PM|TRESPASS|4704XX  PAKAI PL|KANEOHE|District 4
10/09/2023   16:28:47  PM|SIMPLE ASSAULT|12XX  LUNALILO ST|MAKIKI|District 1
10/09/2023   16:27:33  PM|AUTO THEFT|3XX  SARATOGA RD|WAIKIKI|District 6
10/09/2023   16:08:48  PM|FOLLOW UP|8721XX  HELELUA PL|NANAKULI|District 8
10/09/2023   15:40:04  PM|MISC CRIME OFFENSE|4106XX  INOAOLE ST|WAIMANALO|District 4
10/09/2023   15:30:37  PM|AUTO THEFT RECOVERY|9110XX  KEAUNUI DR|EWA BEACH|District 8
