01/12/2024   01:07:26  AM|THEFT|5XX  KIAPU PL|KALIHI|District 5
01/12/2024   01:06:12  AM|TRAFFIC STOP|14XX  KINAU ST|HONOLULU|District 1
01/12/2024   01:05:44  AM|ALARM CALL|6605XX  KAM HWY|HALEIWA|District 2
01/12/2024   01:04:56  AM|SUSP CIRCUMSTANCE|4404XX  KANEOHE BAY DR|KANEOHE|District 4
01/12/2024   01:03:22  AM|NUISANCE COMPLAINT|XX  S HOTEL ST|DOWNTOWN|District 1
01/12/2024   00:58:59  AM|ICF/SCF|5401XX  HAUULA PARK PL|HAUULA|District 4
01/12/2024   00:48:14  AM|ARGUMENT FAMILY|16XX  MAKALOA ST|HONOLULU|District 1
01/12/2024   00:40:37  AM|ALARM CALL|45XX  SALT LAKE BLVD|AIEA|District 3
01/12/2024   00:35:57  AM|SIMPLE ASSAULT|13XX  PUNCHBOWL ST|HONOLULU|District 1
