09/08/2023   07:13:07  AM|TRAFFIC INCIDENT|ALIIKOA ST / AINAKOA AVE|WAIALAE|District 7
09/08/2023   07:13:00  AM|MISC CRIME OFFENSE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
09/08/2023   07:10:03  AM|THEFT|8706XX  MANUU ST|MAILI|District 8
09/08/2023   07:03:25  AM|PARKING VIOLATION|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
09/08/2023   06:55:17  AM|HARASSMENT|15XX  HAKA DR|KALIHI|District 5
09/08/2023   06:48:41  AM|MISC PUB|10XX  FORT ST MALL|DOWNTOWN|District 1
09/08/2023   06:41:14  AM|UNATTENDED DEATH|9211XX  KULIKE PL|MAKAKILO|District 8
09/08/2023   06:34:14  AM|LOST PROPERTY|3XX  RODGERS BLVD|AIRPORT|District 5
09/08/2023   06:14:55  AM|AUTO THEFT|15XX  LAULANI ST|KALIHI|District 5
