06/20/2024   22:54:29  PM|RECKLESS ENDANGERING|9500XX  KIPAPA DR|MILILANI|District 2
06/20/2024   22:53:18  PM|VEH TOWED|FORT WEAVER RD / RENTON RD|EWA BEACH|District 8
06/20/2024   22:52:22  PM|DUI|4605XX  KAM HWY|KANEOHE|District 4
06/20/2024   22:39:17  PM|DUI|4605XX  KAM HWY|KANEOHE|District 4
06/20/2024   22:37:04  PM|NOISE COMPLAINT|9122XX  OLD FORT WEAVER RD|EWA BEACH|District 8
06/20/2024   22:36:37  PM|NUISANCE COMPLAINT|16XX  DILLINGHAM BLVD|KALIHI|District 5
06/20/2024   22:27:37  PM|DISORDERLY CONDUCT|10XX  DILLINGHAM BLVD|KALIHI|District 5
06/20/2024   22:25:45  PM|WARRANT ARREST|SUMNER ST / IWILEI RD|KALIHI|District 5
06/20/2024   21:53:22  PM|MVC|10XX  KEOLU DR|KAILUA|District 4
06/20/2024   21:10:50  PM|MVC|8706XX  FARRINGTON HWY|MAILI|District 8
